ADDRESS,PROPERTY MANAGEMENT COMPANY,NOTES,BARCODE #,Price/month,Area,start up date,"STATUS- (ACTIVE, CANCELLED, ON HOLD)",KEYS,TEST DAY,ANNUAL,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,,,,,
2129 Florence Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,305,W2-R14,January,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2136 Ridge Road,Brown Bros.,,,$70.00,"Victoria, BC",Jul-23,ACTIVE,RG 6312,M1-R1,October,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
214 Moss Street,Century 21 Queenswood,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,165,TU2-R13,November,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
2140 Cadboro Bay,TPM Properties,,,$50.00,"Oak Bay, BC",Jan-23,ACTIVE,390,W2-R14,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
215 Oswego Street,Belmont Properties,"Months on invoices
",,$60.00,"Victoria, BC",Apr-23,ACTIVE,"AQ 512
[K2,F1]",W3-R20,June,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
2150 Cadboro Bay,Century 21 Queenswood,,,$50.00,"Oak Bay, BC",Jan-23,ACTIVE,170,W2-R14,February,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2151 Haultain Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,155,W2-R14,September,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
2151 Lannon Way,Panorama Leisure,,,$55.00,"Sidney, BC",,ACTIVE,No Key,F2-R16,March,Y,Y,ANNUAL,X,X,Y,X,Y,Y,Y,Y,Y,,,,,
2161 Haultain Street,Brookridge ,,,$60.00,"Victoria, BC",Sep-24,ON HOLD,H 1612,W2-R14,June,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,,,,,
217 Cook Street,Brown Bros.,,,$42.00,"Victoria, BC",,CANCELLED,C 712,-,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
2170 Haultain Street,750 Pemberton Developments Ltd.,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,367,W2-R14,May,Y,Y,X,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
2181 Haultain Street,Belmont Properties,Months on invoices,,$55.00,"Victoria, BC",Apr-23,ACTIVE,446,W2-R14,February,Y,Y,Y,ANNUAL,X,Y,Y,Y,Y,Y,Y,X,,,,,
2184 Cadboro Bay Road,Devon Properties,,,$50.00,"Oak Bay, BC",Jan-23,ACTIVE,134,W2-R14,August,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
220 Douglas Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,62,TU3-R18,March,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2210 Cadboro Bay Road,Brown Bros.,,,$65.00,"Oak Bay, BC",Apr-24,ACTIVE,DA 0122,W2-R14,January,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2211 Shelbourne Street,South Island Property Mgmt,,,$55.00,"Victoria, BC",Nov-12,ACTIVE,"GT 1122
K2w",M1-R3,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
2230 Cadboro Bay Road,Devon Properties,,,$50.00,"Oak Bay, BC",Jan-23,ACTIVE,156,W2-R14,May,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
2233 Bowker Avenue,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,301,W2-R14,September,Y,Y,Y,X,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
2243 Beacon Avenue,Mary Winspear Centre,,,$50.00,"Sidney, BC",Jan-23,ACTIVE,No Key,F1-R10,January,Y,ANNUAL,X,X,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
225 Belleville Street,Brown Bros.,,,$125.00,"Victoria, BC",Jun-24,ACTIVE,LB 522,W3-R20,September,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
2250 Oak Bay Avenue        ,Colliers,"PO Required
$55/month",,$55.00,"Victoria, BC",,ACTIVE,"E 0522
K4",TU2-R13,May,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
2261 Keating Cross Road,Vancouver Island Commercial (VIC) Properties,$65/month (A),,$65.00,"Saanich, BC",Sep-19,ACTIVE,Call for access,TU2-R12,February,X,ANNUAL,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,,,,,
2270 Harbour Road,Harbour Haven Marina & Self-Storage,,,$65.00,"Sidney, BC",Nov-25,ACTIVE,BH722,F2-R16,June,-,-,-,-,-,-,-,-,-,-,Y,Y,,,,,
2286 Henry Avenue,Claridge House,,,$50.00,"Sidney, BC",,ACTIVE,429,F2-R16,June,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
2290 Henry Avenue,Trillium Communites,Discontinue after Dec 2025,,$60.00,"Sidney, BC",April,ACTIVE,N/A,F2-R16,February,Y,ANNUAL,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,,,,,
230 Cook Street,Richmond Property Group,,,$55.00,"Victoria, BC",,ACTIVE,"Z 032
K1",TU3-R18,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
230 Oswego Street,Dorset Realty,,,$55.00,"Victoria, BC",Jan-15,ACTIVE,"D 032
K2",M1-R2,April,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
2300 Henry Avenue,Trillium Communites,Discontinue after Dec 2025,,$60.00,"Sidney, BC",April,ACTIVE,N/A,F2-R16,February,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
231 Regina Avenue,Victoria Native Friendship Centre,,,$130.00,"Victoria, BC",Nov-25,ACTIVE,No keys,W2-R22,March,-,-,-,-,-,-,-,-,-,-,X,Y,,,,,
2311 Mills Road,Complete Residential,$65/month (A),,$65.00,"Sidney, BC",Aug-20,ACTIVE,BV 1132,F2-R16,March,Y,Y,ANNUAL,X,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2318 James White,Colyvan Pacific,Rate increasing from $50 - $65 on November 2025 after the completion of the Annual Inspection in October.,,$50.00,"Sidney, BC",Jan-23,ACTIVE,377,F1-R10,October,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
2326 Harbour Road,Miraloma Strata Council VIS 5766 ,,,$50.00,"Sidney, BC",,ACTIVE,425,F2-R16,September,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
2330 Cook Street,Devon Properties,,,$60.00,"Victoria, BC",Jan-23,ACTIVE,CK 0332,M1-R3,February,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2339 Beacon Avenue,Richmond Property Group,,,$65.00,"Sidney, BC",Sep-22,ACTIVE,BP 9332,F2-R16,September,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
235 Cook Street,Pacific Quorum,,,$50.00,"Victoria, BC",,ACTIVE,411,TU3-R18,February,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
235 Michigan Street,Brown Brothers Property Management,First 3 months are free,,$75.00,"Victoria, BC",Jul-25,ACTIVE,CG 532,W3-R20,January,-,-,-,-,-,-,Y,Y,Y,X,Y,Y,,,,,
2380 Brethour Avenue,Pemberton Strata,,,$50.00,"Sidney, BC",,ACTIVE,434,F1-R10,October,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
2390 City Gate Boulevard,High Street,,,$75.00,"Langford, BC",Nov-25,ACTIVE,YC 932,TU1-R5,-,-,-,-,-,-,-,-,-,-,-,Y,Y,,,,,
240 Douglas Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,63,TU3-R18,March,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2421 Sidney Avenue,Complete Residential,,,$50.00,"Sidney, BC",May-23,ACTIVE,416,F1-R10,January,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2427 Amherst Avenue,Colyvan Pacific,,,$65.00,"Sidney, BC",Sep-23,ACTIVE,HS 7242,F2-R16,September,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
2433 Malaview Avenue,Starlight Properties,"Was cancelled, re-engaged Dec/23",,$60.00,"Sidney, BC",Dec-23,ACTIVE,VW 3342,F2-R16,July,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
2440 Oakville Avenue,Colyvan Pacific,,,$65.00,"Sidney, BC",Jun-20,ACTIVE,IL 0442,F2-R16,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,X,Y,Y,Y,,,,,
2447 Henry Avenue,Converge Condo Management ,,,$50.00,"Sidney, BC",Jan-23,ACTIVE,359,F1-R10,December,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2471 Sidney Avenue,Devon Properties,,,$50.00,"Sidney, BC",Mar-23,ACTIVE,444,F1-R10,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
247-271 Cook Street,Devon properties,Moved to R2 in August 2025 (was R18),,$50.00,"Victoria, BC",,ACTIVE,407,M1-R2,February,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2476 Mt. Newton Cross Road,Quality Inn,$65/month (A),,$65.00,"Saanichton, BC",Jan-21,ACTIVE,ON SITE,TU2-R12,May,Y,Y,X,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
2490 Bevan Avenue,Ocean Court,,,$50.00,"Sidney, BC",,ACTIVE,391,F2-R16,July,Y,Y,Y,Y,Y,ANNUAL,Y,Y,X,Y,Y,Y,,,,,
250 Oswego Street,Starlight Properties c/o Devon Properties Ltd.,,,$55.00,"Victoria, BC",Mar-25,ACTIVE,WG 052,W3-R20,September,-,-,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2511 Quadra Street,Complete Residential,,,$60.00,"Victoria, BC",Feb-24,ACTIVE,AQ 1152,M1-R3,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
2512 Douglas Street,Capital West,,,$60.00,"Victoria, BC",Jun-23,ACTIVE,DS 2152,TU3-R19,March,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2530 Mt Newton Cross Road,Starlight/Devon,,,$50.00,"Saanichton, BC",,ACTIVE,CH 0487,TU2-R12,October,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
2545 Oakville Avenue,Strata 1952,,,$50.00,"Sidney, BC",Jan-23,ACTIVE,No Key,F2-R16,June,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
2549 Dowler Place,Century 21 Queenswood,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,35,M1-R3,March,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2550 Bevan Avenue,Pemberton Holmes - Strata (Sidney),Graham Wright - 250 885 4917 (monitoring),,$55.00,"Sidney, BC",Feb-25,ACTIVE,VB 0552,F2-R16,April,-,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2565 Beach Drive,Starlight/Devon,,,$50.00,"Oak Bay, BC",Jan-23,ACTIVE,98,W2-R14,April,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2580 Cadboro Bay,Strata Plan 4934,,,$65.00,"Victoria, BC",Mar-25,ACTIVE,BD 0852,W2-R14,March,-,-,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
260 Michigan Street,Starlight/Devon,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,73,W3-R20,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
2605 Windsor Road,South Island Property Mgmt,,,$55.00,"Oak Bay, BC",Jun-20,ACTIVE,"WS 5062
K3",TU2-R13,June,-,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
2608 Prior Street,South Island Prop. ,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,47,W1-R6,December,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
2610 Graham Street,"Graham Manor
c/o Raven Property",,,$50.00,"Victoria, BC",Jan-23,ACTIVE,26,W1-R6,October,Y,Y,Y,Y,Y,Y,Y,Y,X,ANNUAL,Y,Y,,,,,
2626 Blackwood Street,Firm Management,,,$55.00,"Victoria, BC",Dec-15,ACTIVE,BC 6262,W1-R6,December,X,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2630 Cook Street,Devon Properties,Cancelled before start tests in April 2025,,$55.00,"Victoria, BC",Apr-25,CANCELLED,KC 0362,-,July,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
2631 Prior Street,Strata Plan #787,,,$55.00,"Victoria, BC",Jan-20,ACTIVE,KT 1362,W1-R6,June,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
2644 Prior Street,Belmont Properties,"Months on invoices
$55 after June 2025",,$55.00,"Victoria, BC",Apr-23,ACTIVE,456,W1-R6,October,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
2646 Cook Street,Devon Properties,Cancelled before start tests in April 2025,,$55.00,"Victoria, BC",Apr-25,CANCELLED,KC 6462,-,December,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
2647 Graham Street,Complete Residential,,,$55.00,"Victoria, BC",Nov-17,ACTIVE,QR 7462,W1-R6,May,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
2648 Graham Street,Starlight/Devon,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,342,W1-R6,May,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
268 Superior Street,Hadden Investments,CHARGE CC IN QB,,$50.00,"Victoria, BC",,ACTIVE,201,W3-R20,September,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
2680 Blanshard Street,Groupe Denux,,,$50.00,"Victoria, BC",,CANCELLED,431,-,February,Y,X,Y,-,-,-,-,-,-,-,-,-,,,,,
2680 Prior Street,Century 21 Queenswood,,,$60.00,"Victoria, BC",,ACTIVE,168,M1-R1,June,Y,Y,Y,X,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
2705 Cook Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,372,W1-R6,March,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2718 Strathmore Road,Pemberton Holmes,,,$65.00,"Langford, BC",Nov-24,ACTIVE,S 8172,TU1-R5,October,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
2720 Mill Bay Road,Thrifty Foods,Quoted $375 per month - May 2021 (sd')  Invoice monthly,,$375.00,"Mill Bay, BC",May-21,ACTIVE,No Key,M2-R11,April,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2747 Quadra Street,Colyvan Pacific,,,$55.00,"Victoria, BC",May-24,ACTIVE,DQ 7472,W1-R6,February,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2749 Jacklin Road,Proline Property Management Ltd.,,,$75.00,"Langford, BC",Aug-25,ACTIVE,KJ 9472,TU1-R5,October,-,-,-,-,-,-,-,Y,Y,ANNUAL,Y,Y,,,,,
275 Burnside Road W,Starlight Properties c/o Devon Properties,,,$60.00,"Victoria, BC",Dec-23,ACTIVE,CM 5813,W2-R22,March,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,X,Y,,,,,
2751 Shelbourne Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,151,W1-R6,November,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
2771 Jacklin Road,Groupe Denux,,,$50.00,"Langford, BC",,ACTIVE,418,TU1-R5,January,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
2785 Quadra Street,Pacific Cove Property Management Ltd.,,,$75.00,"Victoria, BC",Jul-25,ACTIVE,DQ 5872,W1-R6,September,-,-,-,-,-,-,Y,Y,ANNUAL,Y,Y,Y,,,,,
2790 Cedar Hill Road,Century 21 Queenswood,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,176,W1-R6,June,X,X,Y,X,ANNUAL,X,X,X,Y,Y,Y,Y,,,,,
280 Douglas Street,Oakwood Property ,,,$55.00,"Victoria, BC",,ACTIVE,"T 082
K3",TU3-R18,February,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
2821 Quesnel Street,Colyvan Pacific,,,$65.00,"Victoria, BC",May-24,ACTIVE,QU 1282,TU3-R19,September,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
283 Michigan Street,Starlight/Devon,"Credit from QB $173.25. Apply to Q4 2025   $55/month
PO Required",,$55.00,"Victoria, BC",Nov-22,ACTIVE,"VA 382
K3-F1",W3-R20,September,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
2830 Peatt Road,Boardwalk General Partnership,,,$125.00,"Langford, BC",Jan-23,ACTIVE,TP 0382,TU1-R5,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
2840 Nanaimo Street,Devon,,,$50.00,"Victoria, BC",,ACTIVE,58,TU3-R19,July,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
2840 Peatt Road,Cornerstone,,,$50.00,"Langford, BC",,ACTIVE,"433
F-1",TU1-R5,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
2849 Bryn Maur Road,Centurion Property Associates,Month on invoice,,$55.00,"Langford, BC",Jan-23,ACTIVE,No Key,TU1-R5,September,X,Y,Y,X,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
2854 Peatt Road,Centurion Properties,Month on invoice,,$55.00,"Langford, BC",Jan-23,ACTIVE,331,TU1-R5,September,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,X,Y,Y,,,,,
2861 Quadra Street,Pacific Cove Property Management Ltd.,Price change approved in July 2025,,$210.00,"Victoria, BC",Jul-25,ACTIVE,DQ 1682,W1-R6,August,-,-,-,-,-,-,Y,Y,Y,Y,Y,Y,,,,,
2915 Douglas Street,PHS,,,$55.00,"Victoria, BC",Jul-22,ACTIVE,No Key,TU3-R19,June,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
2931 Qu'Appelle Street,Castera Properties,,,$55.00,"Victoria, BC",Oct-24,ACTIVE,Q 1392,W2-R22,August,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,X,Y,,,,,
2947 Qu'Appelle Street,Castera Properties,,,$55.00,"Victoria, BC",Oct-24,ACTIVE,Q 1392,W2-R22,August,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,X,Y,,,,,
2994 Douglas Street,BCGEU,"Increase to $65 after June 2025 
PO Required",,$65.00,"Victoria, BC",Jul-17,ACTIVE,KEY AT SITE,TU3-R19,August,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
3005 Cook Street,Kiwanis Village Society,,,$65.00,"Victoria, BC",Feb-25,ACTIVE,CK 5003,W1-R6,January,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
3008-3010 Washington Avenue,Proline,,,$55.00,"Victoria, BC",,ACTIVE,CD 8003,W2-R22,March,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,X,Y,,,,,
3011 Merchant Way,Thrifty Foods,"Invoice Monthly starting Apr. 1/21 @ $275 (no TC06)  
Inv.23884 - Mar.31/21 @ $65 + TC07",,$275.00,"Langford, BC",21-Jan,ACTIVE,No Key,M3-R17,June,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
3033 Cook Street,Kiwanis Village Society,,,$65.00,"Victoria, BC",December,ACTIVE,OC3303,W1-R6,February,Y,Y & ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
3035 Cook Street,Kiwanis Village Society,,,$65.00,"Victoria, BC",December,ACTIVE,OC5303,W1-R6,April,Y,Y,Y,Y,Y & ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
3045 Douglas Street                    ,Richmond Property Group,,,$55.00,"Victoria, BC",,ACTIVE,GH 5403,TU3-R19,October,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
31 Bastion Square,Colliers,,,$70.00,"Victoria, BC",May-23,ACTIVE,"BQ 13
[K1]",M2-R11,October,Y,Y,Y,X,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
314 Cook Street,Pacific Quorum,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,121,TU3-R18,September,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
3157 Tillicum Road,Firm Management,,,$65.00,"Victoria, BC",Sep-24,ACTIVE,AT 7506,W2-R22,September,Y,Y,Y,Y,Y,X,Y,Y,ANNUAL,Y,X,Y,,,,,
3159 Shelbourne Street,Brown Bros.,,,$55.00,"Saanich, BC",,ACTIVE,438,W1-R6,December,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
3160 Albina Street,Firm Management,,,$65.00,"Victoria, BC",Sep-24,ACTIVE,AT 7506,W2-R22,September,Y,Y,Y,Y,Y,X,Y,Y,ANNUAL,Y,X,Y,,,,,
3185 Tillicum Road,Starlight Properties c/o Devon Properties,,,$60.00,"Victoria, BC",Dec-23,ACTIVE,CM 5813,W2-R22,March,Y,Y,Y,Y,ANNUAL,X,Y,Y,Y,Y,X,Y,,,,,
3187 Shelbourne Street,Devon,,,$50.00,"Saanich, BC",Jan-23,ACTIVE,437,W1-R6,February,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
3221 Cedar Hill Cross Road,Beacon Community Services,,,$55.00,"Saanich, BC",Jan-20,ACTIVE,IB 1223,TH2-R23,October,Y,Y,Y,Y,Y,X,X,Y,ANNUAL,Y,Y,Y,,,,,
3226 Alder Street,Pacifica Housing,,,$65.00,"Saanich, BC",Aug-24,ACTIVE,A 6223,TU3-R19,June,Y,Y,Y,Y,X,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
323 Michigan Street,Devon Properties,,,$70.00,"Victoria, BC",Jul-23,ACTIVE,"MG 323
[K2]",W3-R20,March,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
3255 Quadra Street,Devon Properties,,,$70.00,"Victoria, BC",Sep-23,ACTIVE,RA 5523,TU3-R19,August,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
3277 Glasgow Avenue,South Island Property Management,,,$60.00,"Saanich, BC",Oct-24,ACTIVE,"G 7723
K5lrg+7sm",TU3-R19,September,Y,X,Y,Y,X,X,Y,Y,ANNUAL,Y,Y,Y,,,,,
328-454 Burnside Road W & 3528-3628 Tillicum Road,Pemberton Holmes (new July 31/22),"$195/month
7 FA Panels",,$195.00,"Victoria, BC",Nov-21,ACTIVE,"PP 823
K7",M2-R11,August,Y,Y,Y,X,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
331/333 Robert Street,Hutton,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,75,W1-R7,December,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,,,,,
3319A Painter Road,Pemberton Holmes,Previously R5 - changed November 2025,,$50.00,"Langford, BC",Jan-23,ACTIVE,333,W2-R22,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
3319B Painter Road,Pemberton Holmes,Previously R5 - changed November 2025,,$50.00,"Langford, BC",Jan-23,ACTIVE,334,W2-R22,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
335 St. James Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,CM 733,W3-R20,July,Y,Y,Y,Y,Y,Y,Y,ANNUAL,X,Y,Y,Y,,,,,
337 St. James Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,CM 733,W3-R20,July,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
3381 Whittier Avenue,Centurion Properties,Month on invoice,,$55.00,"Saanich, BC",Jan-23,ACTIVE,352,TU3-R19,May,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
3400 Davidson Avenue         ,Colliers,"PO Required
$55/month",,$55.00,"Victoria, BC",,ACTIVE,RS 0043,TU3-R19,September,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
341 Latoria Boulevard,Devon Properties,Previously R5 - changed November 2025,,$65.00,"Colwood, BC",Jul-24,ACTIVE,AL 143,W2-R22,April,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,X,,,,,
343 Simcoe Street,Brown Brothers Property Management,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,67,W3-R20,August,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
344 Goldstream Avenue,Pemberton Holmes,Change to R17 in August 2025 (previously R5),,$55.00,"Langford, BC",Dec-24,ACTIVE,SG 443,M3-R17,August,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
345 Latoria Boulevard,Warrington PCI Managment,Previously R5 - changed November 2025,,$65.00,"Langford, BC",Jun-24,ACTIVE,BL 547,W2-R22,May,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,X,,,,,
345 Latoria Boulevard,Warrington PCI Managment,Previously R5 - changed November 2025,,$65.00,"Langford, BC",Jun-24,ACTIVE,BL 547,W2-R22,May,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,X,,,,,
345 Latoria Boulevard,Warrington PCI Managment,Previously R5 - changed November 2025,,$65.00,"Langford, BC",Jun-24,ACTIVE,BL 547,W2-R22,May,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,X,,,,,
345 Latoria Boulevard,Warrington PCI Managment,Previously R5 - changed November 2025,,$65.00,"Langford, BC",Jun-24,ACTIVE,BL 547,W2-R22,May,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,X,,,,,
